,ID,reg1,reg2,reg3,reg4,home,chld,hinc,genf,wrat,avhv,incm,inca,plow,npro,tgif,lgif,rgif,tdon,tlag,agif,donr
927,1836,0,0,0,0,1,2,4,1,6,123,29,39,16,113,182,17,9,21,14,12.77,0.0
3258,6494,0,0,0,1,1,3,4,0,0,147,19,46,27,87,133,37,18,19,5,16.97,0.0
45,113,0,1,0,0,1,4,2,0,7,221,118,118,1,117,424,11,9,20,3,12.73,1.0
1260,2487,0,0,0,0,1,1,4,1,6,166,28,41,21,97,304,18,27,10,6,17.13,0.0
1096,2153,0,1,0,0,1,0,7,1,8,184,53,53,15,116,192,114,23,24,12,17.57,1.0
1443,2829,0,1,0,0,1,2,4,1,5,146,22,47,27,59,83,9,16,20,3,6.28,1.0
2107,4175,1,0,0,0,1,3,4,1,8,175,58,58,7,76,133,5,4,22,6,5.81,1.0
687,2741,1,0,0,0,0,1,4,0,4,227,71,71,1,76,132,27,28,14,8,11.41,0.0
1187,2356,0,1,0,0,1,1,4,1,8,79,12,23,74,27,62,15,7,21,6,11.39,1.0
1110,4386,1,0,0,0,1,2,4,0,7,246,47,65,4,80,161,5,4,23,7,4.36,1.0
3787,7595,0,0,0,0,1,0,3,0,9,163,31,38,14,119,233,15,8,26,6,10.69,1.0
1030,2041,0,1,0,0,1,3,4,1,9,265,83,83,1,59,90,56,50,21,5,24.23,1.0
2008,7985,0,1,0,0,1,2,1,1,9,294,103,103,0,43,101,101,96,12,4,37.99,0.0
300,636,0,1,0,0,1,4,4,1,9,179,35,36,18,119,190,18,29,18,6,13.35,1.0
2523,5031,0,1,0,0,1,0,4,0,8,156,37,47,29,81,137,5,2,23,4,6.83,1.0
1472,2895,0,1,0,0,0,0,2,1,8,218,57,77,9,80,167,18,10,18,4,9.9,1.0
283,610,0,0,0,1,0,3,5,1,8,240,68,78,2,79,243,24,8,20,10,8.64,0.0
399,1570,0,1,0,0,1,2,4,0,8,144,29,46,24,37,49,21,36,20,6,15.77,1.0
2480,4951,0,1,0,0,1,2,5,1,4,183,33,51,16,78,81,14,9,11,7,6.79,0.0
772,3062,0,0,1,0,1,0,5,1,9,104,17,29,49,106,182,25,20,19,6,18.19,1.0
3346,6673,1,0,0,0,1,0,5,1,8,135,35,41,22,112,147,12,15,13,3,6.15,1.0
1813,3567,0,1,0,0,1,3,2,0,8,95,19,27,26,81,100,4,5,21,7,4.92,0.0
3887,7799,0,0,0,0,0,0,4,0,8,121,29,45,24,97,103,13,11,9,7,10.02,1.0
330,1265,0,0,0,0,1,0,3,1,8,257,56,91,1,107,173,10,6,22,3,8.32,1.0
1595,6301,1,0,0,0,1,0,5,0,6,66,11,19,70,35,68,15,8,17,6,5.32,1.0
1078,4254,1,0,0,0,1,0,5,1,8,243,59,69,3,53,81,5,4,16,8,6.06,1.0
844,3344,0,0,0,0,1,3,2,1,9,186,68,68,3,71,113,27,14,17,5,14.55,0.0
2932,5844,1,0,0,0,0,3,5,1,8,151,47,57,3,45,65,24,23,17,4,16.89,0.0
2119,4192,1,0,0,0,1,2,4,1,9,93,21,33,36,59,132,7,9,22,7,10.48,1.0
1674,6614,1,0,0,0,1,0,4,1,5,131,39,39,10,41,51,14,11,16,7,8.4,1.0
831,3290,1,0,0,0,1,2,5,0,9,151,13,38,39,69,89,15,13,18,3,8.77,0.0
3807,7631,1,0,0,0,1,2,4,1,4,184,35,41,21,121,264,6,3,23,3,4.3,1.0
1723,6835,1,0,0,0,1,0,4,0,8,266,97,97,1,64,125,9,6,38,4,7.18,1.0
1792,7131,0,0,0,1,0,3,2,0,9,117,17,35,29,113,248,12,10,17,5,13.26,0.0
2330,4659,0,0,0,1,1,0,4,0,9,219,60,60,3,67,91,14,15,15,3,12.0,1.0
2029,4027,1,0,0,0,0,2,4,0,7,195,57,57,7,32,58,18,11,17,7,11.49,0.0
1481,5855,1,0,0,0,1,1,6,1,8,282,47,85,6,50,58,15,9,28,8,10.14,0.0
257,557,0,0,1,0,1,0,4,1,5,131,28,36,27,32,65,50,24,13,6,15.4,1.0
507,1060,0,0,0,0,0,4,3,1,8,155,33,51,10,36,54,14,9,23,5,10.11,0.0
1942,3835,0,0,0,1,1,0,4,0,3,148,31,49,17,84,118,33,24,15,3,23.27,1.0
99,221,0,1,0,0,1,4,5,0,1,174,36,43,7,19,44,16,7,18,12,13.06,0.0
2955,5878,0,0,0,1,1,0,6,0,8,257,87,102,0,75,177,8,9,21,16,8.61,1.0
744,1525,0,0,1,0,1,2,4,1,8,410,102,115,0,85,298,43,38,16,4,15.6,1.0
1286,5052,0,1,0,0,1,4,4,1,7,170,37,46,7,18,35,15,14,19,9,13.03,0.0
1569,6203,0,0,0,1,1,4,4,0,9,194,62,62,3,41,53,14,18,15,3,9.44,0.0
1375,2702,0,0,1,0,0,3,1,1,1,78,6,20,87,74,201,16,11,9,4,8.39,0.0
3866,7754,0,0,0,0,0,0,6,1,9,201,34,66,20,38,68,14,7,9,6,9.05,0.0
3819,7664,0,1,0,0,1,0,4,0,5,259,66,66,2,98,178,11,8,20,5,9.84,1.0
3682,7366,0,1,0,0,1,0,4,1,8,101,26,34,24,23,61,17,14,14,5,10.36,1.0
1954,3854,0,0,0,1,1,1,6,1,8,173,57,57,3,39,86,15,15,17,8,7.03,0.0
729,2885,0,0,0,1,1,5,2,1,6,138,21,33,35,50,59,46,22,26,4,17.53,0.0
1157,2295,0,0,0,0,1,2,3,1,6,135,18,37,46,88,161,16,8,16,4,18.16,0.0
385,1486,1,0,0,0,1,0,4,1,6,175,59,59,15,102,127,16,31,18,5,12.55,1.0
3365,6719,1,0,0,0,1,0,5,1,8,357,65,85,0,78,110,8,8,23,3,5.49,1.0
922,3645,0,1,0,0,0,3,4,0,4,166,36,63,7,56,76,13,8,16,10,17.26,0.0
1437,2814,0,0,0,1,1,2,4,1,6,154,28,48,19,44,54,17,10,13,5,10.48,0.0
366,765,1,0,0,0,1,2,4,1,8,399,57,99,1,10,44,9,9,25,5,8.06,0.0
892,3547,0,1,0,0,1,2,5,0,8,144,37,49,19,51,91,10,9,15,14,6.83,0.0
2941,5858,1,0,0,0,0,0,4,1,9,124,16,39,39,93,138,11,6,20,3,10.01,1.0
402,829,0,1,0,0,1,3,4,0,8,239,33,54,1,42,56,30,10,24,6,22.45,1.0
661,2629,0,1,0,0,1,1,4,1,6,136,29,39,16,95,212,21,16,24,7,13.66,1.0
1170,4624,0,0,0,1,1,3,5,0,9,172,45,45,4,74,99,11,10,18,4,6.87,0.0
949,1877,0,1,0,0,1,2,4,1,8,79,22,22,42,94,133,100,20,20,5,12.37,1.0
2781,5577,1,0,0,0,1,3,4,1,6,138,16,42,32,37,76,7,8,14,4,4.89,0.0
19,56,0,0,0,0,1,2,5,1,6,427,78,114,0,78,131,9,4,24,6,6.13,1.0
229,496,0,0,0,0,1,2,6,1,1,105,24,38,37,43,55,20,13,14,6,13.87,0.0
1201,4738,1,0,0,0,1,0,1,1,8,228,63,88,0,95,291,20,19,20,8,9.64,1.0
668,1383,0,0,0,0,1,0,4,1,9,89,12,18,53,84,116,19,8,19,4,7.77,1.0
218,469,0,0,0,0,1,0,4,0,8,324,87,118,0,44,63,18,10,18,4,12.57,1.0
1024,4045,1,0,0,0,1,0,6,0,9,135,37,37,8,47,97,16,10,14,6,10.45,1.0
40,137,0,0,0,0,1,0,4,0,9,173,36,40,28,81,96,10,6,19,3,7.76,1.0
3571,7115,0,0,0,1,1,1,7,1,8,197,37,64,8,16,50,14,10,9,3,6.47,0.0
2513,5009,0,0,1,0,1,2,3,0,4,184,27,53,10,41,51,37,22,15,4,17.83,0.0
407,1613,0,1,0,0,1,0,4,1,7,147,28,30,34,36,63,28,16,15,3,17.97,1.0
585,1210,1,0,0,0,1,0,4,1,9,145,23,49,8,85,122,11,8,21,7,7.39,1.0
1912,3776,0,0,0,1,1,2,4,0,3,183,41,45,17,30,56,5,4,23,6,4.03,0.0
1394,5484,0,1,0,0,1,0,4,1,1,104,14,30,30,96,332,13,20,17,6,14.56,1.0
1179,4662,0,0,0,0,0,3,2,0,3,207,41,49,14,78,140,10,7,12,4,6.76,0.0
364,1400,0,1,0,0,1,5,5,1,8,283,40,90,10,72,107,16,13,11,8,11.15,0.0
3829,7680,0,0,0,1,1,5,6,0,4,166,40,46,10,64,127,30,8,8,5,13.8,0.0
