Id ,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
5088,-118.28,33.98,19.0,883.0,313.0,726.0,277.0,0.9809,<1H OCEAN,121400.0
17096,-122.23,37.46,33.0,2643.0,464.0,1015.0,427.0,4.2232,NEAR OCEAN,363700.0
5617,-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,<1H OCEAN,205600.0
20060,-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,INLAND,47600.0
895,-121.96,37.54,14.0,5106.0,1207.0,2738.0,1108.0,3.9909,<1H OCEAN,236000.0
19653,-120.85,37.49,39.0,2840.0,733.0,2606.0,737.0,1.9429,INLAND,76400.0
18403,-121.84,37.24,24.0,7991.0,1286.0,4017.0,1213.0,5.4741,<1H OCEAN,238800.0
11307,-117.94,33.78,40.0,299.0,68.0,163.0,70.0,3.0125,<1H OCEAN,166100.0
1225,-120.43,38.25,13.0,763.0,161.0,311.0,125.0,2.4583,INLAND,112500.0
6408,-118.03,34.13,33.0,2352.0,373.0,995.0,359.0,4.9583,INLAND,445700.0
7341,-118.14,33.97,29.0,1846.0,530.0,2576.0,528.0,2.63,<1H OCEAN,156000.0
17025,-122.27,37.52,35.0,1051.0,259.0,517.0,234.0,3.7,NEAR OCEAN,339700.0
3333,-122.62,38.92,13.0,520.0,115.0,249.0,109.0,1.8417,INLAND,84700.0
4754,-118.33,34.05,46.0,3015.0,795.0,2300.0,725.0,2.0706,<1H OCEAN,268500.0
3619,-118.44,34.25,35.0,1583.0,324.0,1481.0,351.0,3.7,<1H OCEAN,176000.0
17561,-121.89,37.32,43.0,1105.0,241.0,982.0,206.0,2.1149,<1H OCEAN,184900.0
6110,-117.89,34.13,34.0,2159.0,386.0,1443.0,385.0,4.1995,<1H OCEAN,147400.0
18816,-120.23,39.56,14.0,1781.0,346.0,734.0,287.0,2.46,INLAND,93000.0
17222,-119.71,34.44,41.0,2220.0,367.0,927.0,355.0,5.3184,<1H OCEAN,376000.0
16149,-122.47,37.77,52.0,3143.0,635.0,1350.0,623.0,3.8571,NEAR BAY,366700.0
8886,-118.51,34.03,37.0,4072.0,905.0,1468.0,923.0,3.8571,<1H OCEAN,500001.0
13732,-117.19,34.05,52.0,1949.0,432.0,767.0,392.0,2.5143,INLAND,117600.0
13487,-117.36,34.1,29.0,2819.0,637.0,,608.0,2.3205,INLAND,87600.0
6775,-118.15,34.12,52.0,1518.0,344.0,725.0,296.0,3.4018,<1H OCEAN,204500.0
15142,-116.89,32.82,18.0,2515.0,443.0,1442.0,449.0,5.0201,<1H OCEAN,154400.0
4860,-118.3,34.02,31.0,1933.0,478.0,1522.0,423.0,1.5781,<1H OCEAN,119300.0
18730,-122.46,40.52,13.0,2085.0,322.0,1077.0,333.0,5.2149,INLAND,146500.0
20282,-119.18,34.19,36.0,4519.0,1081.0,4818.0,1061.0,2.8561,NEAR OCEAN,179100.0
7731,-118.14,33.92,31.0,3731.0,853.0,2313.0,801.0,3.2237,<1H OCEAN,218200.0
12386,-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,INLAND,238800.0
6266,-117.94,34.04,36.0,1431.0,354.0,1367.0,334.0,3.5592,<1H OCEAN,160200.0
2222,-119.83,36.82,14.0,1087.0,165.0,365.0,176.0,7.2909,INLAND,155600.0
4679,-118.34,34.07,52.0,1621.0,284.0,588.0,272.0,6.2223,<1H OCEAN,500001.0
9085,-118.17,34.67,5.0,8352.0,1555.0,3723.0,1389.0,4.5659,INLAND,140300.0
3796,-118.36,34.16,32.0,2455.0,556.0,,493.0,4.0764,<1H OCEAN,325000.0
2227,-119.77,36.86,7.0,4139.0,544.0,,562.0,8.2737,INLAND,193500.0
3904,-118.51,34.19,38.0,2182.0,409.0,1141.0,379.0,4.2865,<1H OCEAN,221100.0
